Team,True_WP,Conference
Orlando,0.2707546,East
Indiana,0.6579564,East
Chicago,0.5632324,East
Miami,0.6401394,East
LA Clippers,0.701538,West
LA Lakers,0.3536669,West
Brooklyn,0.5149702,East
Cleveland,0.3849569,East
Philadelphia,0.2244941,East
Boston,0.2918824,East
Toronto,0.5642525,East
Washington,0.5095249,East
Detroit,0.3409601,East
Milwaukee,0.1788794,East
New York,0.4328588,East
Charlotte,0.501515,East
Houston,0.6706375,West
Minnesota,0.5044728,West
New Orleans,0.4366979,West
Atlanta,0.4498833,East
Dallas,0.609594,West
Memphis,0.6242055,West
San Antonio,0.7626005,West
Oklahoma City,0.7257165,West
Utah,0.3274676,West
Portland,0.6678239,West
Phoenix,0.5961862,West
Denver,0.460961,West
Sacramento,0.365723,West
Golden State,0.6327199,West
