Wins,Games,Team1,Team2
1,4,Orlando,Indiana
1,3,Orlando,Chicago
0,4,Orlando,Miami
1,2,Orlando,LA.Clippers
1,2,Orlando,LA.Lakers
2,4,Orlando,Brooklyn
0,4,Orlando,Cleveland
3,4,Orlando,Philadelphia
1,4,Orlando,Boston
0,3,Orlando,Toronto
0,4,Orlando,Washington
2,3,Orlando,Detroit
2,4,Orlando,Milwaukee
1,3,Orlando,New.York
2,4,Orlando,Charlotte
0,2,Orlando,Houston
1,2,Orlando,Minnesota
1,2,Orlando,New.Orleans
2,4,Orlando,Atlanta
0,2,Orlando,Dallas
0,2,Orlando,Memphis
0,2,Orlando,San.Antonio
1,2,Orlando,Oklahoma.City
0,2,Orlando,Utah
1,2,Orlando,Portland
0,2,Orlando,Phoenix
0,2,Orlando,Denver
0,2,Orlando,Sacramento
0,2,Orlando,Golden.State
3,4,Indiana,Orlando
2,4,Indiana,Chicago
2,4,Indiana,Miami
2,2,Indiana,LA.Clippers
2,2,Indiana,LA.Lakers
4,4,Indiana,Brooklyn
3,4,Indiana,Cleveland
3,3,Indiana,Philadelphia
4,4,Indiana,Boston
2,4,Indiana,Toronto
2,3,Indiana,Washington
3,4,Indiana,Detroit
4,4,Indiana,Milwaukee
2,3,Indiana,New.York
2,3,Indiana,Charlotte
1,2,Indiana,Houston
1,2,Indiana,Minnesota
2,2,Indiana,New.Orleans
2,4,Indiana,Atlanta
0,2,Indiana,Dallas
1,2,Indiana,Memphis
1,2,Indiana,San.Antonio
1,2,Indiana,Oklahoma.City
2,2,Indiana,Utah
1,2,Indiana,Portland
0,2,Indiana,Phoenix
1,2,Indiana,Denver
2,2,Indiana,Sacramento
1,2,Indiana,Golden.State
2,3,Chicago,Orlando
2,4,Chicago,Indiana
2,4,Chicago,Miami
0,2,Chicago,LA.Clippers
2,2,Chicago,LA.Lakers
2,3,Chicago,Brooklyn
3,4,Chicago,Cleveland
3,4,Chicago,Philadelphia
3,3,Chicago,Boston
2,4,Chicago,Toronto
1,3,Chicago,Washington
3,4,Chicago,Detroit
3,4,Chicago,Milwaukee
2,4,Chicago,New.York
3,4,Chicago,Charlotte
1,2,Chicago,Houston
1,2,Chicago,Minnesota
0,2,Chicago,New.Orleans
4,4,Chicago,Atlanta
1,2,Chicago,Dallas
1,2,Chicago,Memphis
1,2,Chicago,San.Antonio
0,2,Chicago,Oklahoma.City
1,2,Chicago,Utah
0,2,Chicago,Portland
2,2,Chicago,Phoenix
1,2,Chicago,Denver
1,2,Chicago,Sacramento
1,2,Chicago,Golden.State
4,4,Miami,Orlando
2,4,Miami,Indiana
2,4,Miami,Chicago
2,2,Miami,LA.Clippers
2,2,Miami,LA.Lakers
0,4,Miami,Brooklyn
3,3,Miami,Cleveland
1,3,Miami,Philadelphia
1,3,Miami,Boston
4,4,Miami,Toronto
