Wins,Games,Team1,Team2
1,1,Illinois,Alabama.St
0,0,Illinois,Mississippi.St
0,0,Illinois,Prairie.View
0,0,Illinois,Kansas
0,0,Illinois,ULM
0,0,Illinois,Loyola.MD
0,0,Illinois,Binghamton
0,0,Illinois,Marshall
0,0,Illinois,S.Carolina.St
0,0,Illinois,Marquette
0,0,Illinois,Southern.Univ
0,0,Illinois,Sam.Houston.St
0,0,Illinois,TX.Pan.American
0,0,Illinois,West.Virginia
0,0,Illinois,Mt.St.Marys
0,0,Illinois,SF.Austin
0,0,Illinois,Samford
0,0,Illinois,Mississippi
0,0,Illinois,Troy
0,0,Illinois,Texas.Tech
0,0,Illinois,Houston.Bap
0,0,Illinois,LoyolaChicago
0,0,Illinois,WI.Milwaukee
0,0,Illinois,Liberty
0,0,Illinois,NE.Omaha
0,0,Illinois,N.Illinois
0,0,Illinois,N.Dakota.St
0,0,Illinois,Utah
0,0,Illinois,UAB
1,1,Illinois,Auburn
0,0,Illinois,Nicholls.St
0,0,Illinois,Arizona.St
0,0,Illinois,UMBC
0,0,Illinois,Arkansas
0,0,Illinois,Edwardsville
0,0,Illinois,Youngstown.St
0,0,Illinois,Kennesaw
0,0,Illinois,Furman
0,0,Illinois,Loy.Marymount
0,0,Illinois,Grand.Canyon
0,0,Illinois,Elon
0,0,Illinois,Oklahoma.St
0,0,Illinois,MS.Valley.St
0,0,Illinois,Creighton
0,0,Illinois,Alcorn.St
0,0,Illinois,Texas.AM
0,0,Illinois,Buffalo
0,0,Illinois,Villanova
0,0,Illinois,Lafayette
1,1,Illinois,Bradley
1,1,Illinois,Jacksonville.St
0,0,Illinois,Florida.St
0,0,Illinois,Jacksonville
0,0,Illinois,East.Carolina
1,1,Illinois,Missouri
0,0,Illinois,SE.Louisiana
0,0,Illinois,Houston
0,0,Illinois,Texas.St
0,0,Illinois,Portland
0,0,Illinois,UC.Davis
0,0,Illinois,CS.Northridge
0,0,Illinois,Hawaii
0,0,Illinois,Tennessee.St
0,0,Illinois,CS.Sacramento
0,0,Illinois,St.Francis.NY
0,0,Illinois,Miami.FL
0,0,Illinois,San.Diego
0,0,Illinois,S.Dakota.St
0,0,Illinois,Santa.Barbara
0,0,Illinois,San.Francisco
0,0,Illinois,W.Carolina
0,0,Illinois,North.Texas
0,0,Illinois,Santa.Clara
0,0,Illinois,Charleston.So
0,0,Illinois,California
0,0,Illinois,Coppin.St
0,0,Illinois,St.Marys.CA
0,0,Illinois,Louisiana.Tech
0,0,Illinois,W.Michigan
0,0,Illinois,New.Mexico.St
0,0,Illinois,UCLA
0,0,Illinois,Drexel
0,0,Illinois,Fresno.St
0,0,Illinois,UC.Irvine
0,0,Illinois,North.Carolina
0,0,Illinois,Oakland
1,1,Illinois,Valparaiso
0,0,Illinois,Murray.St
0,0,Illinois,N.Colorado
0,0,Illinois,Kansas.St
0,0,Illinois,Southern.Utah
0,0,Illinois,UCF
0,0,Illinois,TAM.C.Christi
0,0,Illinois,Southern.Miss
0,0,Illinois,Jackson.St
0,0,Illinois,Northwestern.LA
0,0,Illinois,Stanford
0,0,Illinois,Bucknell
0,0,Illinois,Arizona
0,0,Illinois,Cal.Poly.SLO
0,0,Illinois,Washington.St
0,0,Illinois,CS.Bakersfield
0,0,Illinois,Boise.St
0,0,Illinois,UT.Arlington
0,0,Illinois,Utah.St
0,0,Illinois,USC
0,0,Illinois,Tulane
0,0,Illinois,NJIT
1,2,Illinois,Iowa
0,0,Illinois,UNC.Wilmington
0,0,Illinois,Utah.Valley
0,0,Illinois,IUPUI
0,0,Illinois,Rhode.Island
0,0,Illinois,Maine
0,0,Illinois,BYU
0,0,Illinois,Weber.St
0,0,Illinois,SMU
0,0,Illinois,TCU
0,0,Illinois,San.Diego.St
0,0,Illinois,UC.Riverside
0,0,Illinois,Wyoming
0,0,Illinois,TN.Martin
0,2,Illinois,Wisconsin
0,0,Illinois,St.Johns
0,0,Illinois,Baylor
0,0,Illinois,Colorado
0,0,Illinois,Austin.Peay
0,0,Illinois,Air.Force
0,0,Illinois,Army
0,0,Illinois,Chattanooga
0,0,Illinois,E.Kentucky
0,0,Illinois,Florida.Intl
0,0,Illinois,Connecticut
0,0,Illinois,Maryland
0,0,Illinois,Providence
0,0,Illinois,Boston.College
1,1,Illinois,UNLV
0,0,Illinois,Portland.St
0,0,Illinois,Florida
0,0,Illinois,North.Florida
0,0,Illinois,VMI
0,0,Illinois,Citadel
0,0,Illinois,Pacific
0,0,Illinois,Nevada
0,0,Illinois,Oklahoma
0,0,Illinois,Alabama
0,0,Illinois,E.Michigan
0,0,Illinois,Cincinnati
0,0,Illinois,NC.Central
0,0,Illinois,George.Mason
0,0,Illinois,American.Univ
0,0,Illinois,Fordham
0,0,Illinois,St.Francis.PA
0,0,Illinois,NC.State
0,0,Illinois,Appalachian.St
0,0,Illinois,G.Washington
0,0,Illinois,Radford
0,0,Illinois,C.Michigan
0,0,Illinois,Akron
0,0,Illinois,Coastal.Car
0,0,Illinois,St.Louis
0,0,Illinois,SE.Missouri.St
1,1,Illinois,Minnesota
0,0,Illinois,Lehigh
1,2,Illinois,Nebraska
0,0,Illinois,FL.Gulf.Coast
0,0,Illinois,Missouri.KC
0,0,Illinois,Charlotte
0,0,Illinois,ETSU
0,0,Illinois,Monmouth.NJ
